자치구,행정동,2024년_전체점포수,2024년_프랜차이즈비율(%),2025년_전체점포수,2025년_프랜차이즈비율(%)
강남구,개포1동,47,0.0,42,0.0
강남구,개포2동,638,29.0,663,28.05
강남구,개포4동,994,20.52,963,22.53
강남구,논현1동,4318,19.01,4169,18.04
강남구,논현2동,5057,17.66,4914,17.22
강남구,대치1동,618,32.69,566,33.75
강남구,대치2동,2388,22.86,2351,23.35
강남구,대치4동,3556,27.64,3471,25.99
강남구,도곡1동,1151,22.15,1124,21.44
강남구,도곡2동,1370,17.23,1369,16.73
강남구,삼성1동,3505,20.6,3422,20.75
강남구,삼성2동,2397,18.73,2389,18.88
강남구,세곡동,992,36.69,975,34.77
강남구,수서동,871,36.97,845,34.2
강남구,신사동,4424,14.24,4316,13.88
강남구,압구정동,5115,10.19,4926,10.27
강남구,역삼1동,12223,19.12,12016,19.11
강남구,역삼2동,2711,18.41,2589,17.46
강남구,일원1동,784,25.64,761,24.84
강남구,일원2동,283,23.32,273,23.44
강남구,일원본동,213,24.88,210,24.76
강남구,청담동,3680,9.21,3659,9.18
강동구,강일동,607,42.67,654,41.74
강동구,고덕1동,466,25.54,428,25.23
강동구,고덕2동,907,32.86,968,31.61
강동구,길동,3322,20.11,3183,20.04
강동구,둔촌1동,6,0.0,140,42.14
강동구,둔촌2동,1048,13.74,1022,13.99
강동구,명일1동,1581,23.28,1534,23.01
강동구,명일2동,910,39.12,855,39.53
강동구,상일동,1023,21.99,1011,21.07
강동구,성내1동,1489,20.95,1468,21.39
강동구,성내2동,1639,15.19,1653,16.03
강동구,성내3동,2397,16.98,2352,17.6
강동구,암사1동,1479,17.65,1401,17.92
강동구,암사2동,652,25.0,625,25.28
강동구,암사3동,250,38.4,253,41.5
강동구,천호1동,1162,22.81,1120,22.95
강동구,천호2동,3001,20.93,2913,20.73
강동구,천호3동,1705,21.88,1675,21.19
강북구,미아동,1530,17.58,1499,18.41
강북구,번1동,1585,18.93,1509,19.75
강북구,번2동,273,9.89,252,11.11
강북구,번3동,397,26.45,393,25.7
강북구,삼각산동,662,29.46,621,30.27
강북구,삼양동,625,19.68,619,20.52
강북구,송중동,2211,23.25,2088,23.95
강북구,송천동,1649,16.19,1535,15.96
강북구,수유1동,1097,15.77,1062,14.12
