연도,분기,자치구,행정동,전체_점포수,프랜차이즈_점포수,프랜차이즈_비율(%)
2024,1분기,강남구,개포1동,12,0,0.0
2024,1분기,강남구,개포2동,153,47,30.72
2024,1분기,강남구,개포4동,251,49,19.52
2024,1분기,강남구,논현1동,1082,207,19.13
2024,1분기,강남구,논현2동,1269,230,18.12
2024,1분기,강남구,대치1동,160,49,30.63
2024,1분기,강남구,대치2동,594,133,22.39
2024,1분기,강남구,대치4동,894,247,27.63
2024,1분기,강남구,도곡1동,290,66,22.76
2024,1분기,강남구,도곡2동,345,63,18.26
2024,1분기,강남구,삼성1동,882,181,20.52
2024,1분기,강남구,삼성2동,600,110,18.33
2024,1분기,강남구,세곡동,247,92,37.25
2024,1분기,강남구,수서동,222,84,37.84
2024,1분기,강남구,신사동,1108,160,14.44
2024,1분기,강남구,압구정동,1300,137,10.54
2024,1분기,강남구,역삼1동,3033,592,19.52
2024,1분기,강남구,역삼2동,683,124,18.16
2024,1분기,강남구,일원1동,200,52,26.0
2024,1분기,강남구,일원2동,70,16,22.86
2024,1분기,강남구,일원본동,54,14,25.93
2024,1분기,강남구,청담동,926,82,8.86
2024,1분기,강동구,강일동,151,63,41.72
2024,1분기,강동구,고덕1동,120,32,26.67
2024,1분기,강동구,고덕2동,218,71,32.57
2024,1분기,강동구,길동,850,173,20.35
2024,1분기,강동구,둔촌1동,1,0,0.0
2024,1분기,강동구,둔촌2동,268,37,13.81
2024,1분기,강동구,명일1동,402,97,24.13
2024,1분기,강동구,명일2동,234,90,38.46
2024,1분기,강동구,상일동,258,58,22.48
2024,1분기,강동구,성내1동,378,78,20.63
2024,1분기,강동구,성내2동,407,59,14.5
2024,1분기,강동구,성내3동,604,99,16.39
2024,1분기,강동구,암사1동,381,65,17.06
2024,1분기,강동구,암사2동,162,40,24.69
2024,1분기,강동구,암사3동,64,24,37.5
2024,1분기,강동구,천호1동,294,68,23.13
2024,1분기,강동구,천호2동,755,160,21.19
2024,1분기,강동구,천호3동,426,96,22.54
2024,1분기,강북구,미아동,385,66,17.14
2024,1분기,강북구,번1동,405,76,18.77
2024,1분기,강북구,번2동,68,7,10.29
2024,1분기,강북구,번3동,99,26,26.26
2024,1분기,강북구,삼각산동,165,47,28.48
2024,1분기,강북구,삼양동,159,30,18.87
2024,1분기,강북구,송중동,567,128,22.57
2024,1분기,강북구,송천동,423,69,16.31
2024,1분기,강북구,수유1동,274,43,15.69
2024,1분기,강북구,수유2동,228,32,14.04
2024,1분기,강북구,수유3동,877,172,19.61
2024,1분기,강북구,우이동,357,42,11.76
2024,1분기,강북구,인수동,279,32,11.47
2024,1분기,강서구,가양1동,1689,417,24.69
2024,1분기,강서구,가양2동,73,28,38.36
2024,1분기,강서구,가양3동,41,15,36.59
2024,1분기,강서구,공항동,391,77,19.69
2024,1분기,강서구,등촌1동,416,115,27.64
2024,1분기,강서구,등촌2동,133,34,25.56
2024,1분기,강서구,등촌3동,433,134,30.95
2024,1분기,강서구,발산1동,703,199,28.31
2024,1분기,강서구,방화1동,471,117,24.84
2024,1분기,강서구,방화2동,397,81,20.4
2024,1분기,강서구,방화3동,128,33,25.78
2024,1분기,강서구,염창동,293,107,36.52
2024,1분기,강서구,우장산동,287,71,24.74
2024,1분기,강서구,화곡1동,734,135,18.39
2024,1분기,강서구,화곡2동,91,23,25.27
2024,1분기,강서구,화곡3동,318,76,23.9
2024,1분기,강서구,화곡4동,334,62,18.56
2024,1분기,강서구,화곡6동,524,109,20.8
2024,1분기,강서구,화곡8동,310,74,23.87
2024,1분기,강서구,화곡본동,329,68,20.67
2024,1분기,관악구,낙성대동,680,122,17.94
2024,1분기,관악구,난곡동,132,38,28.79
2024,1분기,관악구,난향동,56,15,26.79
2024,1분기,관악구,남현동,263,56,21.29
2024,1분기,관악구,대학동,472,87,18.43
2024,1분기,관악구,미성동,252,61,24.21
2024,1분기,관악구,보라매동,336,75,22.32
2024,1분기,관악구,삼성동,99,6,6.06
2024,1분기,관악구,서림동,211,35,16.59
2024,1분기,관악구,서원동,490,135,27.55
2024,1분기,관악구,성현동,123,22,17.89
2024,1분기,관악구,신림동,585,115,19.66
2024,1분기,관악구,신사동,326,50,15.34
2024,1분기,관악구,신원동,231,31,13.42
2024,1분기,관악구,은천동,390,87,22.31
2024,1분기,관악구,인헌동,269,45,16.73
2024,1분기,관악구,조원동,405,76,18.77
